what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1485926577449
java.version,sysinfo,,,"1.6.0_23",1485926577449
java.vm.info,sysinfo,,,"mixed mode",1485926577449
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1485926577449
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1485926577449
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1485926577449
java.vm.specification.version,sysinfo,,,"1.0",1485926577449
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1485926577449
java.vm.version,sysinfo,,,"19.0-b09",1485926577449
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1485926577496
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1485926578105
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1485926578199
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1485926578511
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1485926578511
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1485926578511
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1485926578792
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1485926579308
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1485926579386
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1485926579730
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1485926579792
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1485926579824
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1485926580230
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1485926580308
started,bundle,com.altera.sbtgui.integration,11.1.0.216,"com.altera.sbtgui.integration",1485926580730
started,bundle,com.altera.systemconsole,11.1.0.216,"com.altera.systemconsole",1485926580761
started,bundle,com.altera.utilities,11.1.0.216,"com.altera.utilities",1485926580917
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1485926581574
started,bundle,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch",1485926582136
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1485926703232
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1485926745941
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1485926777042
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1485926780239
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1485926930985
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1485927098773
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1485927224022
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1485927231436
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1485927344548
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.help.aboutAction",1485927344595
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1485927357866
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1485927381309
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1485927386747
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1485927393146
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1485927400178
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1485927453986
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1485927455408
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1485927488713
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1485927526730
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1485927664613
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1485927664973
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1485927666020
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1485927667136
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1485927667495
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1485927667714
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1485927668401
started,bundle,com.altera.sbtgui.core,11.1.0.216,"com.altera.sbtgui.core",1485927668558
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1485927668807
stopped,bundle,com.altera.debug.cdi.gdb.plugin,11.1.0.216,"com.altera.debug.cdi.gdb.plugin",1485927668839
stopped,bundle,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch",1485927668839
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1485927668870
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1486085485032
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1486085485048
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1486085485048
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1486085485048
started,bundle,org.eclipse.cdt.core,5.2.1.201009141542,"org.eclipse.cdt.core",1486085485048
started,bundle,org.eclipse.cdt.make.core,7.0.0.201009141542,"org.eclipse.cdt.make.core",1486085485064
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.ui",1486085485126
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.1.201009141542,"org.eclipse.cdt.managedbuilder.core",1486085485204
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.gnu.ui",1486085485204
started,bundle,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui",1486085485204
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1486085485204
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1486085485220
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1486085485220
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1486085485220
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1486085485220
